SQL,Optimizer,Join order,duration
17d.sql, RL Optimizer, 4-3-1-0-5-2-6-, 1.579
17e.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.489
16a.sql, RL Optimizer, 1-0-4-2-5-3-6-7-, 0.602
11c.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.752
10a.sql, RL Optimizer, 1-0-4-2-3-5-6-, 0.6
11a.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.714
12a.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.674
14c.sql, RL Optimizer, 1-5-4-0-6-2-7-3-, 0.805
16c.sql, RL Optimizer, 1-0-4-2-5-3-6-7-, 0.615
18a.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.617
17f.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.518
11d.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.731
10c.sql, RL Optimizer, 1-0-4-3-2-5-6-, 0.57
10b.sql, RL Optimizer, 1-0-4-2-3-5-6-, 0.551
17a.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.501
14a.sql, RL Optimizer, 1-5-4-0-6-2-7-3-, 0.754
12c.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.676
16d.sql, RL Optimizer, 1-0-4-2-5-3-6-7-, 0.59
11b.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.713
17c.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.533
18b.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.68
16b.sql, RL Optimizer, 1-0-4-2-5-3-6-7-, 0.608
18c.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.743
12b.sql, RL Optimizer, 1-4-0-5-2-6-3-7-, 0.693
17b.sql, RL Optimizer, 1-3-0-5-4-2-6-, 0.548
14b.sql, RL Optimizer, 1-5-4-0-6-2-7-3-, 0.774