Group,Optimizer,Loop,JoinOrder,ExecutionTime
30c.sql,Reinforcement Learning,60,6-9-3-11-0-8-2-5-10-7-1-4-,2152.83
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1324.18
22b.sql,Reinforcement Learning,65,4-9-10-8-6-5-0-3-7-1-2-,882.681
24b.sql,Reinforcement Learning,72,5-8-11-7-4-2-1-0-10-9-6-3-,1231.81
6d.sql,Reinforcement Learning,10,3-0-2-4-1-,407.996
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,544.114
13b.sql,Reinforcement Learning,45,4-8-5-1-6-3-0-7-2-,222.428
17e.sql,Reinforcement Learning,18,2-4-0-3-1-6-5-,1919.79
5a.sql,Reinforcement Learning,12,0-2-3-1-4-,120.812
15d.sql,Reinforcement Learning,41,3-6-7-8-5-1-0-4-2-,454.634
16a.sql,Reinforcement Learning,24,7-5-3-1-0-6-4-2-,516.694
11c.sql,Reinforcement Learning,30,2-5-6-7-3-4-1-0-,280.812
10a.sql,Reinforcement Learning,44,2-4-3-1-0-5-6-,839.324
11a.sql,Reinforcement Learning,24,3-6-4-0-1-7-5-2-,142.779
5c.sql,Reinforcement Learning,11,0-2-3-1-4-,1249.03
8a.sql,Reinforcement Learning,67,4-1-0-5-3-2-6-,589.86
12a.sql,Reinforcement Learning,23,3-6-4-1-0-5-7-2-,552.221
14c.sql,Reinforcement Learning,23,2-6-7-5-1-3-4-0-,1232.39
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,786.263
4b.sql,Reinforcement Learning,11,0-2-4-3-1-,77.552
3a.sql,Reinforcement Learning,8,0-2-3-1-,901.974
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,91.651
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,911.643
15b.sql,Reinforcement Learning,58,1-5-7-8-4-0-2-6-3-,463.879
26b.sql,Reinforcement Learning,60,6-9-8-0-5-1-4-10-3-2-11-7-,628.236
19c.sql,Reinforcement Learning,78,7-2-9-6-4-1-0-8-5-3-,1248.64
17f.sql,Reinforcement Learning,16,2-4-0-5-3-6-1-,1009.65
6c.sql,Reinforcement Learning,12,1-2-0-4-3-,249.1
32a.sql,Reinforcement Learning,20,5-3-2-0-4-1-,260.527
11d.sql,Reinforcement Learning,23,2-5-6-7-3-4-0-1-,321.864
19d.sql,Reinforcement Learning,53,7-2-9-6-4-5-3-1-8-0-,2303.98
4c.sql,Reinforcement Learning,9,1-3-4-2-0-,178.832
26a.sql,Reinforcement Learning,76,6-9-0-1-4-3-8-5-2-11-10-7-,996.745
10c.sql,Reinforcement Learning,41,0-1-4-2-5-6-3-,940.836
5b.sql,Reinforcement Learning,10,0-2-4-3-1-,98.444
9b.sql,Reinforcement Learning,28,5-0-2-6-1-4-3-7-,697.01
10b.sql,Reinforcement Learning,31,2-4-1-5-0-6-3-,811.428
6a.sql,Reinforcement Learning,11,1-2-0-3-4-,284.673
30a.sql,Reinforcement Learning,60,6-9-3-11-0-2-10-1-8-7-4-5-,1465.86
31a.sql,Reinforcement Learning,56,1-5-8-4-10-0-7-6-2-3-9-,1505.39
8b.sql,Reinforcement Learning,96,4-1-3-5-2-6-0-,471.091
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,279.022
15a.sql,Reinforcement Learning,62,3-6-7-8-0-4-5-1-2-,591.226
15c.sql,Reinforcement Learning,70,6-7-8-3-5-2-1-4-0-,623.867
2c.sql,Reinforcement Learning,10,0-2-4-3-1-,203.944
21a.sql,Reinforcement Learning,27,2-6-7-8-5-3-4-0-1-,964.583
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,886.778
13c.sql,Reinforcement Learning,63,8-5-1-6-3-0-4-7-2-,177.442
31b.sql,Reinforcement Learning,47,4-8-10-0-7-9-6-2-5-3-1-,1468.17
20c.sql,Reinforcement Learning,28,5-7-0-1-4-3-2-8-9-6-,966.409
7b.sql,Reinforcement Learning,67,6-2-1-7-4-3-5-0-,284.774
21c.sql,Reinforcement Learning,29,2-6-7-8-5-3-4-1-0-,1039.88
7c.sql,Reinforcement Learning,59,5-1-4-6-7-2-3-0-,1057.37
25b.sql,Reinforcement Learning,41,3-6-8-5-0-7-4-2-1-,1198.48
9d.sql,Reinforcement Learning,29,5-2-7-4-3-1-6-0-,1132.67
14a.sql,Reinforcement Learning,21,2-6-7-5-1-4-0-3-,1196.06
25a.sql,Reinforcement Learning,33,3-6-0-7-8-4-1-5-2-,1318.58
12c.sql,Reinforcement Learning,30,3-6-5-7-2-4-1-0-,808.954
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,730.153
20a.sql,Reinforcement Learning,67,3-4-9-7-5-6-0-1-2-8-,737.705
6e.sql,Reinforcement Learning,15,1-2-0-3-4-,330.275
3c.sql,Reinforcement Learning,9,0-2-1-3-,1202.93
8c.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,3316.58
11b.sql,Reinforcement Learning,52,3-6-4-0-1-5-7-2-,89.598
21b.sql,Reinforcement Learning,40,2-6-5-8-7-3-4-1-0-,561.804
1a.sql,Reinforcement Learning,9,1-3-4-2-0-,131.084
23a.sql,Reinforcement Learning,93,10-6-8-9-5-7-3-2-4-0-1-,562.387
22a.sql,Reinforcement Learning,56,4-9-10-8-3-7-6-1-5-0-2-,902.843
26c.sql,Reinforcement Learning,72,6-9-0-4-3-11-10-7-1-2-8-5-,971.131
17c.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,472.739
30b.sql,Reinforcement Learning,96,6-9-11-7-8-0-1-3-4-10-2-5-,1406.53
3b.sql,Reinforcement Learning,8,0-2-3-1-,509.014
18b.sql,Reinforcement Learning,17,2-4-6-3-1-0-5-,1274.93
1c.sql,Reinforcement Learning,9,1-3-4-2-0-,88.747
31c.sql,Reinforcement Learning,70,1-5-8-4-10-0-6-2-9-7-3-,2246.75
7a.sql,Reinforcement Learning,26,2-6-5-0-1-4-3-7-,362.266
4a.sql,Reinforcement Learning,9,1-3-4-2-0-,131.647
16b.sql,Reinforcement Learning,24,3-5-1-6-4-2-0-7-,2616.99
18c.sql,Reinforcement Learning,18,5-0-3-1-6-4-2-,2095.19
20b.sql,Reinforcement Learning,34,8-4-7-9-3-6-5-0-1-2-,557.689
9a.sql,Reinforcement Learning,35,5-0-2-1-6-4-7-3-,856.991
22c.sql,Reinforcement Learning,65,4-9-10-7-2-8-3-6-5-1-0-,1353.52
22d.sql,Reinforcement Learning,57,4-9-10-7-2-8-3-6-0-1-5-,1370.17
2b.sql,Reinforcement Learning,14,1-3-4-2-0-,294.935
8d.sql,Reinforcement Learning,20,5-1-6-4-3-2-0-,794.872
32b.sql,Reinforcement Learning,15,5-3-2-0-4-1-,262.156
9c.sql,Reinforcement Learning,53,5-0-2-6-1-4-3-7-,943.894
12b.sql,Reinforcement Learning,19,2-5-7-6-3-4-1-0-,266.133
17b.sql,Reinforcement Learning,17,5-0-4-2-3-6-1-,648.774
1d.sql,Reinforcement Learning,9,1-3-4-2-0-,87.307
13a.sql,Reinforcement Learning,27,0-5-1-6-3-7-2-8-4-,789.298
25c.sql,Reinforcement Learning,25,3-6-0-8-4-7-1-5-2-,2186.17
6b.sql,Reinforcement Learning,11,4-2-1-0-3-,283.764
2a.sql,Reinforcement Learning,13,1-3-4-2-0-,256.448
13d.sql,Reinforcement Learning,32,2-7-5-1-0-6-3-8-4-,1270.88
14b.sql,Reinforcement Learning,35,2-6-7-5-3-1-4-0-,1170.83
29b.sql,Reinforcement Learning,99,9-12-16-11-5-14-10-6-8-13-0-4-15-7-1-2-3-,977.721
19a.sql,Reinforcement Learning,99,7-2-9-8-0-1-5-6-4-3-,1205.71
33a.sql,Reinforcement Learning,99,4-12-11-6-13-10-7-3-0-5-8-1-9-2-,322.114
23c.sql,Reinforcement Learning,99,4-8-9-5-10-7-0-1-6-3-2-,611.16
27c.sql,Reinforcement Learning,99,5-9-10-11-8-6-7-4-3-0-2-1-,1036.19
28a.sql,Reinforcement Learning,99,7-12-0-13-11-6-1-2-9-3-4-8-10-5-,1370.48
23b.sql,Reinforcement Learning,99,5-9-8-10-6-7-4-0-2-1-3-,532.04
33c.sql,Reinforcement Learning,99,6-11-12-13-10-3-5-8-7-1-0-4-9-2-,321.027
28c.sql,Reinforcement Learning,99,7-12-13-0-11-6-10-8-1-9-3-4-5-2-,1328.92
19b.sql,Reinforcement Learning,99,7-2-1-8-6-5-4-3-9-0-,1040.73
24a.sql,Reinforcement Learning,99,5-8-2-9-1-10-7-4-6-0-3-11-,1273.16
29c.sql,Reinforcement Learning,99,9-12-5-16-1-3-4-15-2-0-13-14-8-11-7-10-6-,1429.27
27a.sql,Reinforcement Learning,99,5-9-11-8-7-0-2-3-1-4-10-6-,681.751
33b.sql,Reinforcement Learning,99,4-12-11-6-13-5-8-1-10-9-2-3-7-0-,296.65
28b.sql,Reinforcement Learning,99,7-12-13-0-10-8-5-2-1-11-6-9-3-4-,742.625
27b.sql,Reinforcement Learning,99,5-9-8-11-10-7-4-3-6-0-1-2-,628.789
29a.sql,Reinforcement Learning,99,9-12-16-11-5-14-13-0-1-3-8-4-2-15-7-10-6-,1138.06
30c.sql,Reinforcement Learning,50,6-9-3-11-0-10-1-8-5-7-4-2-,2145.01
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1316.44
22b.sql,Reinforcement Learning,73,4-9-10-6-1-5-7-0-2-8-3-,896.92
24b.sql,Reinforcement Learning,83,5-8-11-7-2-1-9-4-0-10-6-3-,1228.3
6d.sql,Reinforcement Learning,11,3-0-2-1-4-,406.347
17d.sql,Reinforcement Learning,24,5-0-4-2-3-1-6-,564.228
13b.sql,Reinforcement Learning,44,4-8-5-1-6-0-3-7-2-,230.993
17e.sql,Reinforcement Learning,25,2-4-0-3-1-6-5-,1919.59
5a.sql,Reinforcement Learning,10,0-2-4-3-1-,122.94
15d.sql,Reinforcement Learning,63,6-0-8-7-3-5-2-1-4-,454.826
16a.sql,Reinforcement Learning,24,7-5-3-1-0-6-4-2-,514.104
11c.sql,Reinforcement Learning,32,2-5-6-7-4-0-1-3-,278.655
10a.sql,Reinforcement Learning,18,2-4-3-1-5-0-6-,837.225
11a.sql,Reinforcement Learning,27,3-6-4-0-7-1-5-2-,140.227
5c.sql,Reinforcement Learning,11,0-2-3-1-4-,1250.4
8a.sql,Reinforcement Learning,64,4-1-3-6-2-5-0-,557.798
12a.sql,Reinforcement Learning,28,3-6-4-1-5-2-0-7-,547.85
14c.sql,Reinforcement Learning,20,2-6-7-5-1-3-4-0-,1238.75
19a.sql,Reinforcement Learning,94,7-2-9-1-8-5-6-3-4-0-,1187.51
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,784.219
4b.sql,Reinforcement Learning,11,0-2-4-3-1-,78.452
3a.sql,Reinforcement Learning,8,0-2-3-1-,905.364
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,88.642
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,893.455
15b.sql,Reinforcement Learning,69,1-5-7-8-0-4-2-6-3-,449.057
26b.sql,Reinforcement Learning,78,6-9-8-0-5-1-4-3-10-2-11-7-,647.755
19c.sql,Reinforcement Learning,76,7-2-9-6-5-3-8-4-0-1-,1242.73
17f.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,1005.1
6c.sql,Reinforcement Learning,10,1-2-0-4-3-,248.383
32a.sql,Reinforcement Learning,21,5-3-2-0-4-1-,259.862
11d.sql,Reinforcement Learning,31,2-5-6-7-4-0-3-1-,293.772
19d.sql,Reinforcement Learning,60,7-2-9-6-4-5-3-8-1-0-,2279.32
4c.sql,Reinforcement Learning,17,1-3-2-0-4-,174.541
26a.sql,Reinforcement Learning,66,6-9-0-1-4-3-8-10-2-11-7-5-,970.238
10c.sql,Reinforcement Learning,33,0-1-4-3-2-5-6-,927.069
5b.sql,Reinforcement Learning,10,0-2-4-3-1-,97.745
9b.sql,Reinforcement Learning,51,5-0-2-6-1-7-4-3-,695.128
10b.sql,Reinforcement Learning,20,2-4-6-3-1-0-5-,806.532
6a.sql,Reinforcement Learning,10,1-2-0-4-3-,282.041
30a.sql,Reinforcement Learning,74,6-9-0-11-2-3-8-10-5-1-7-4-,1446.12
23b.sql,Reinforcement Learning,93,5-9-8-4-10-6-7-0-1-3-2-,526.404
31a.sql,Reinforcement Learning,47,1-5-8-4-10-0-9-7-3-6-2-,1466.81
8b.sql,Reinforcement Learning,37,4-1-6-3-0-2-5-,464.789
2d.sql,Reinforcement Learning,11,1-3-4-2-0-,279.209
15a.sql,Reinforcement Learning,87,6-7-8-0-4-5-2-1-3-,582.746
2c.sql,Reinforcement Learning,11,0-2-3-4-1-,189.335
21a.sql,Reinforcement Learning,26,2-6-5-8-7-3-4-0-1-,968.883
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,887.758
13c.sql,Reinforcement Learning,50,4-8-5-0-1-6-7-2-3-,178.155
31b.sql,Reinforcement Learning,49,4-8-10-7-0-9-6-3-2-5-1-,1433.79
20c.sql,Reinforcement Learning,38,5-7-0-1-4-3-8-2-9-6-,971.49
7b.sql,Reinforcement Learning,47,6-2-1-7-0-4-3-5-,283.7
21c.sql,Reinforcement Learning,27,2-6-7-8-3-5-4-0-1-,1042.91
7c.sql,Reinforcement Learning,46,5-1-4-6-7-3-2-0-,1046.41
25b.sql,Reinforcement Learning,24,3-6-8-0-7-5-2-4-1-,1169.59
9d.sql,Reinforcement Learning,26,5-2-7-4-6-3-1-0-,1123.7
14a.sql,Reinforcement Learning,20,2-6-7-5-1-3-4-0-,1198.59
25a.sql,Reinforcement Learning,35,3-6-0-7-4-5-2-8-1-,1287.24
12c.sql,Reinforcement Learning,41,6-5-2-3-7-4-1-0-,801.502
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,750.87
20a.sql,Reinforcement Learning,66,3-4-9-8-7-5-0-6-1-2-,739.406
6e.sql,Reinforcement Learning,17,1-2-0-3-4-,332.47
3c.sql,Reinforcement Learning,9,0-2-1-3-,1199.52
8c.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,3278.93
11b.sql,Reinforcement Learning,50,3-6-4-0-1-5-2-7-,86.769
21b.sql,Reinforcement Learning,64,2-6-5-8-7-3-4-0-1-,555.303
1a.sql,Reinforcement Learning,9,1-3-4-2-0-,130.477
22a.sql,Reinforcement Learning,32,4-9-10-8-3-5-7-2-6-1-0-,917.006
27a.sql,Reinforcement Learning,75,5-9-11-10-8-7-4-6-3-0-1-2-,682.115
17c.sql,Reinforcement Learning,15,5-0-4-2-6-3-1-,480.825
3b.sql,Reinforcement Learning,8,0-2-3-1-,505.476
18b.sql,Reinforcement Learning,30,2-4-6-3-0-1-5-,1255.21
1c.sql,Reinforcement Learning,9,1-3-4-2-0-,87.262
31c.sql,Reinforcement Learning,43,1-5-8-4-10-0-9-7-3-6-2-,2213.62
7a.sql,Reinforcement Learning,23,2-6-5-0-1-7-4-3-,352.807
4a.sql,Reinforcement Learning,12,1-3-2-4-0-,131.362
16b.sql,Reinforcement Learning,24,3-5-1-6-4-2-0-7-,2606.39
18c.sql,Reinforcement Learning,20,5-0-3-1-6-4-2-,2092.37
20b.sql,Reinforcement Learning,74,3-4-7-9-5-0-2-1-8-6-,555.064
9a.sql,Reinforcement Learning,35,5-2-1-6-4-7-3-0-,842.318
22c.sql,Reinforcement Learning,48,4-9-10-7-2-5-8-3-6-0-1-,1364.7
22d.sql,Reinforcement Learning,47,4-9-10-7-2-8-3-5-6-0-1-,1367.34
2b.sql,Reinforcement Learning,13,1-3-4-2-0-,292.525
8d.sql,Reinforcement Learning,21,5-1-6-4-3-2-0-,788.307
32b.sql,Reinforcement Learning,15,5-3-2-0-4-1-,261.528
12b.sql,Reinforcement Learning,35,2-5-7-6-3-4-0-1-,269.162
17b.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,646.633
1d.sql,Reinforcement Learning,9,1-3-4-2-0-,88.062
13a.sql,Reinforcement Learning,27,0-5-1-6-3-7-2-8-4-,781.999
25c.sql,Reinforcement Learning,31,3-6-0-8-7-4-1-5-2-,2145.58
6b.sql,Reinforcement Learning,11,4-2-1-0-3-,287.02
2a.sql,Reinforcement Learning,13,1-3-4-2-0-,257.649
13d.sql,Reinforcement Learning,32,2-7-5-1-0-6-3-8-4-,1266.89
14b.sql,Reinforcement Learning,29,2-6-7-3-4-0-5-1-,1174.08
29b.sql,Reinforcement Learning,99,9-12-16-11-5-14-15-7-8-4-0-13-10-6-1-2-3-,954.37
33a.sql,Reinforcement Learning,99,4-12-11-6-13-8-7-1-0-5-10-3-9-2-,324.413
23c.sql,Reinforcement Learning,99,8-9-4-10-6-5-7-3-2-0-1-,634.087
27c.sql,Reinforcement Learning,99,5-9-10-11-6-8-7-4-0-1-2-3-,1027.54
28a.sql,Reinforcement Learning,99,7-12-0-13-1-11-10-5-9-8-3-4-6-2-,1358.22
15c.sql,Reinforcement Learning,99,6-7-8-4-3-5-1-0-2-,622.116
33c.sql,Reinforcement Learning,99,6-11-12-13-10-3-9-8-7-1-0-2-5-4-,319.779
28c.sql,Reinforcement Learning,99,7-12-13-0-11-6-2-8-1-10-5-9-3-4-,1340.1
19b.sql,Reinforcement Learning,99,7-2-1-9-0-8-5-3-6-4-,1034.19
24a.sql,Reinforcement Learning,99,5-8-2-9-10-1-11-0-6-3-7-4-,1281.23
23a.sql,Reinforcement Learning,99,10-6-8-9-5-7-4-2-0-1-3-,570.111
29c.sql,Reinforcement Learning,99,9-12-5-1-16-3-2-0-4-13-14-8-15-11-7-10-6-,1434.89
26c.sql,Reinforcement Learning,99,6-9-0-4-3-11-7-10-8-1-5-2-,999.256
30b.sql,Reinforcement Learning,99,6-9-11-8-3-10-7-0-2-1-4-5-,1387.7
33b.sql,Reinforcement Learning,99,4-12-11-13-5-10-8-6-1-3-9-2-7-0-,289.875
28b.sql,Reinforcement Learning,99,7-12-13-0-1-10-9-5-2-3-4-8-11-6-,749.38
9c.sql,Reinforcement Learning,99,5-2-7-1-4-3-0-6-,940.586
27b.sql,Reinforcement Learning,99,5-9-11-8-0-1-7-3-4-10-2-6-,625.106
29a.sql,Reinforcement Learning,99,9-12-16-10-11-5-14-13-4-7-6-0-8-15-1-2-3-,1120.03
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1317.95
22b.sql,Reinforcement Learning,93,4-9-10-6-8-7-1-5-0-2-3-,897.938
6d.sql,Reinforcement Learning,11,3-0-2-1-4-,422.555
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,532.997
13b.sql,Reinforcement Learning,47,4-8-5-1-6-3-0-7-2-,235.384
17e.sql,Reinforcement Learning,18,2-4-0-3-1-6-5-,1921.2
5a.sql,Reinforcement Learning,16,0-2-3-1-4-,119.666
15d.sql,Reinforcement Learning,42,3-6-7-8-0-5-1-4-2-,450.698
16a.sql,Reinforcement Learning,32,7-5-3-1-0-6-4-2-,510.649
11c.sql,Reinforcement Learning,30,2-5-6-7-3-4-0-1-,278.707
10a.sql,Reinforcement Learning,18,2-4-3-1-5-0-6-,829.808
11a.sql,Reinforcement Learning,23,3-6-4-0-7-1-5-2-,140.604
5c.sql,Reinforcement Learning,11,0-2-3-4-1-,1254.55
8a.sql,Reinforcement Learning,43,4-1-3-2-5-0-6-,567.011
12a.sql,Reinforcement Learning,41,3-6-4-1-5-7-0-2-,545.969
14c.sql,Reinforcement Learning,21,2-6-7-5-1-3-4-0-,1236.56
19a.sql,Reinforcement Learning,56,7-0-2-5-8-9-3-6-1-4-,1198.2
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,778.471
4b.sql,Reinforcement Learning,10,0-2-4-3-1-,78.807
3a.sql,Reinforcement Learning,8,0-2-3-1-,901.359
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,88.097
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,890.249
15b.sql,Reinforcement Learning,58,1-5-7-2-8-0-4-6-3-,450.662
26b.sql,Reinforcement Learning,74,6-9-8-11-0-5-1-2-7-4-3-10-,654.368
19c.sql,Reinforcement Learning,47,7-0-2-9-6-1-8-5-4-3-,1244.66
17f.sql,Reinforcement Learning,16,2-4-0-5-3-6-1-,1007.76
6c.sql,Reinforcement Learning,10,1-2-0-4-3-,250.924
32a.sql,Reinforcement Learning,16,5-3-2-0-1-4-,259.18
11d.sql,Reinforcement Learning,21,2-5-6-7-3-4-1-0-,294.255
19d.sql,Reinforcement Learning,54,7-2-9-6-4-5-3-8-1-0-,2304.1
4c.sql,Reinforcement Learning,9,1-3-4-2-0-,181.376
26a.sql,Reinforcement Learning,70,6-9-0-1-4-3-8-5-10-11-2-7-,1005.97
10c.sql,Reinforcement Learning,24,0-1-5-4-3-2-6-,933.702
5b.sql,Reinforcement Learning,10,0-2-4-3-1-,98.435
9b.sql,Reinforcement Learning,55,5-0-2-1-6-7-4-3-,696.177
10b.sql,Reinforcement Learning,37,2-4-1-5-0-3-6-,805.583
6a.sql,Reinforcement Learning,11,1-2-0-3-4-,287.268
30a.sql,Reinforcement Learning,82,6-9-0-11-2-7-3-10-4-1-8-5-,1434.8
31a.sql,Reinforcement Learning,43,1-5-8-4-10-0-9-6-2-7-3-,1466.36
8b.sql,Reinforcement Learning,36,4-0-1-3-2-6-5-,465.948
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,278.748
15a.sql,Reinforcement Learning,61,6-7-8-0-4-5-2-3-1-,581.661
15c.sql,Reinforcement Learning,38,6-7-8-4-0-3-5-1-2-,621.503
2c.sql,Reinforcement Learning,10,0-2-4-3-1-,204.907
21a.sql,Reinforcement Learning,32,2-6-7-8-5-3-4-0-1-,970.112
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,880.956
13c.sql,Reinforcement Learning,51,8-5-4-0-1-6-3-7-2-,178.956
31b.sql,Reinforcement Learning,53,4-8-10-0-9-7-3-6-5-1-2-,1447.42
20c.sql,Reinforcement Learning,43,5-7-0-1-4-3-2-9-6-8-,977.418
7b.sql,Reinforcement Learning,76,6-0-1-4-3-7-2-5-,285.404
21c.sql,Reinforcement Learning,50,2-6-7-8-4-1-5-0-3-,1029.76
7c.sql,Reinforcement Learning,67,5-1-4-6-7-2-3-0-,1036.89
25b.sql,Reinforcement Learning,25,3-6-8-0-5-2-7-4-1-,1177.03
