Group,Optimizer,PreparationTime,ExecutionTime,TotalTime,Loop
3b.sql,Dynamic Programming,0.547,32003.6,32005.3,0
3b.sql,Dynamic Programming,0.51,31991.7,31993.4,0
3b.sql,Dynamic Programming,0.506,31974.3,31975.9,0
3b.sql,Dynamic Programming,0.565,32023.1,32024.8,0
3b.sql,Dynamic Programming,0.51,31991.7,31993.4,0
3b.sql,Dynamic Programming,0.506,31974.3,31975.9,0
3b.sql,Dynamic Programming,0.496,31948.8,31950.5,0
3b.sql,Dynamic Programming,0.565,32023.1,32024.8,0
3b.sql,Dynamic Programming,0.556,32002.9,32004.7,0
3b.sql,Dynamic Programming,0.597,32001.2,32003,0
3b.sql,Dynamic Programming,0.571,31945.2,31947,0
3b.sql,Dynamic Programming,0.579,31939.4,31941.2,0
3b.sql,Dynamic Programming,0.571,31947.4,31949.2,0
3b.sql,Dynamic Programming,0.566,31970,31971.8,0
3b.sql,Dynamic Programming,0.557,31937.9,31939.6,0
3b.sql,Dynamic Programming,0.571,31940.3,31942.1,0
3b.sql,Dynamic Programming,0.56,31948.2,31949.9,0
3b.sql,Dynamic Programming,0.563,31967.8,31969.6,0
3b.sql,Reinforcement Learning,0.539,31561,31561.6,10
3b.sql,Reinforcement Learning,0.564,31683.7,31684.3,18
3b.sql,Reinforcement Learning,0.573,31654.1,31654.7,10
3b.sql,Reinforcement Learning,0.576,31603.7,31604.3,12
3b.sql,Reinforcement Learning,0.58,31563.6,31564.2,12
3b.sql,Reinforcement Learning,0.74,31632.1,31632.9,22
3b.sql,Reinforcement Learning,0.534,31630.7,31631.2,11
3b.sql,Reinforcement Learning,0.55,31598.5,31599,10
3b.sql,Reinforcement Learning,0.545,31657.8,31658.4,10
3b.sql,Reinforcement Learning,0.569,31696.6,31697.1,8